orbit 		event 		date 			time 			day of year	latitude	longitude	solar zenith angle
--------------------------------------------------------------------------------------------------------------------------------------------------

95216 		90 		2019-07-01 		06:19:00 		2019182	        -36.2064	        276.572	        164.132
95216 		91 		2019-07-01 		06:19:46 		2019182	        -33.5707	        276.594	        166.014
95216 		92 		2019-07-01 		06:20:55 		2019182	        -29.6109	        276.708	        168.213
95216 		93 		2019-07-01 		06:21:38 		2019182	        -27.1945	        276.835	        168.997
95216 		94 		2019-07-01 		06:22:49 		2019182	        -23.1760	        277.116	        169.085
95222 		54 		2019-07-01 		15:25:23 		2019182	        -23.1535	        284.677	        52.2184
95222 		55 		2019-07-01 		15:26:05 		2019182	        -25.5406	        284.858	        54.1544
95222 		56 		2019-07-01 		15:27:16 		2019182	        -29.5803	        285.066	        57.5405
95222 		57 		2019-07-01 		15:28:41 		2019182	        -34.4788	        285.212	        61.7765
95222 		58 		2019-07-01 		15:29:53 		2019182	        -38.5766	        285.194	        65.4243
95223 		52 		2019-07-01 		17:01:44 		2019182	        -21.6127	        260.137	        51.0888
95223 		53 		2019-07-01 		17:02:26 		2019182	        -23.9913	        260.33	        52.9842
95223 		54 		2019-07-01 		17:03:37 		2019182	        -28.0232	        260.601	        56.2972
95223 		55 		2019-07-01 		17:05:03 		2019182	        -32.9262	        260.777	        60.4887
95223 		56 		2019-07-01 		17:06:14 		2019182	        -37.0238	        260.804	        64.0976
95223 		57 		2019-07-01 		17:06:56 		2019182	        -39.3984	        260.773	        66.2237
95230 		86 		2019-07-02 		04:53:20 		2019183	        -39.5553	        294.981	        162.371
95230 		87 		2019-07-02 		04:54:06 		2019183	        -36.9201	        294.939	        164.713
95230 		88 		2019-07-02 		04:55:15 		2019183	        -32.9393	        294.967	        167.968
95230 		89 		2019-07-02 		04:55:59 		2019183	        -30.4582	        295.048	        169.687
95230 		90 		2019-07-02 		04:57:08 		2019183	        -26.5334	        295.254	        171.501
95230 		91 		2019-07-02 		04:58:09 		2019183	        -23.0718	        295.498	        171.68
95231 		87 		2019-07-02 		06:30:29 		2019183	        -38.3368	        270.546	        163.53
95231 		88 		2019-07-02 		06:31:39 		2019183	        -34.3504	        270.544	        166.951
95231 		89 		2019-07-02 		06:32:22 		2019183	        -31.8918	        270.602	        168.835
95231 		90 		2019-07-02 		06:33:31 		2019183	        -27.9506	        270.765	        171.163
95231 		91 		2019-07-02 		06:34:32 		2019183	        -24.4920	        270.981	        171.98
95231 		92 		2019-07-02 		06:35:43 		2019183	        -20.4951	        271.322	        171.034
95237 		53 		2019-07-02 		15:37:05 		2019183	        -21.7598	        278.525	        52.54
95237 		54 		2019-07-02 		15:38:15 		2019183	        -25.7661	        278.837	        55.6364
95237 		55 		2019-07-02 		15:39:15 		2019183	        -29.1625	        279.023	        58.373
95237 		56 		2019-07-02 		15:40:26 		2019183	        -33.2281	        279.16	        61.757
95237 		57 		2019-07-02 		15:41:08 		2019183	        -35.6325	        279.184	        63.8101
95237 		58 		2019-07-02 		15:42:18 		2019183	        -39.6238	        279.143	        67.2856
95245 		87 		2019-07-03 		05:05:46 		2019184	        -38.3928	        288.929	        164.148
95245 		88 		2019-07-03 		05:06:56 		2019184	        -34.4099	        288.925	        167.876
95245 		89 		2019-07-03 		05:07:58 		2019184	        -30.9076	        288.997	        170.93
95245 		90 		2019-07-03 		05:09:06 		2019184	        -26.9789	        289.193	        173.658
95245 		91 		2019-07-03 		05:09:49 		2019184	        -24.5382	        289.35	        174.495
95245 		92 		2019-07-03 		05:11:00 		2019184	        -20.5433	        289.698	        173.568
95246 		87 		2019-07-03 		06:42:13 		2019184	        -39.6406	        264.55	        162.981
95246 		88 		2019-07-03 		06:43:23 		2019184	        -35.6527	        264.519	        166.777
95246 		89 		2019-07-03 		06:44:24 		2019184	        -32.1585	        264.562	        169.947
95246 		90 		2019-07-03 		06:45:33 		2019184	        -28.2176	        264.728	        173.041
95246 		91 		2019-07-03 		06:46:16 		2019184	        -25.7754	        264.859	        174.352
95246 		92 		2019-07-03 		06:47:27 		2019184	        -21.7676	        265.189	        174.313
95251 		52 		2019-07-03 		14:12:24 		2019184	        -21.8092	        296.903	        54.0161
95251 		53 		2019-07-03 		14:13:24 		2019184	        -25.2269	        297.168	        56.5434
95251 		54 		2019-07-03 		14:14:35 		2019184	        -29.2590	        297.41	        59.6576
95251 		55 		2019-07-03 		14:15:17 		2019184	        -31.6845	        297.488	        61.6041
95251 		56 		2019-07-03 		14:16:27 		2019184	        -35.6413	        297.567	        64.8541
95251 		57 		2019-07-03 		14:17:13 		2019184	        -38.2911	        297.54	        67.0936
95252 		53 		2019-07-03 		15:49:07 		2019184	        -21.5255	        272.472	        53.9211
95252 		54 		2019-07-03 		15:50:18 		2019184	        -25.5367	        272.781	        56.8795
95252 		55 		2019-07-03 		15:51:00 		2019184	        -27.9180	        272.929	        58.7041
95252 		56 		2019-07-03 		15:52:11 		2019184	        -31.9714	        273.087	        61.9245
95252 		57 		2019-07-03 		15:52:56 		2019184	        -34.5735	        273.146	        64.0502
95252 		58 		2019-07-03 		15:54:06 		2019184	        -38.5576	        273.125	        67.3963
