UT time,Temp (K),Band intensity
-1.09,212.0291,100281.6719
-1.06,210.7144,98453.6484
-1.03,210.7124,97205.2188
-1.00,208.058,96362.4063
-0.98,208.4206,96639.5625
-0.95,205.1447,96511.8125
-0.92,206.9444,96574.7188
-0.89,208.6554,96978.8672
-0.86,208.7122,98244.5547
-0.83,208.7097,100415.5859
-0.80,209.5466,102682.4141
-0.77,210.0774,102700.9141
-0.75,209.4642,101489.0078
-0.72,208.0032,101672.4531
-0.69,205.7864,101111.4766
-0.66,206.8223,100829.9141
-0.63,207.6006,101720.7188
-0.60,205.5716,101438.6406
-0.57,205.0624,101487.4609
-0.54,204.7929,101473.2344
-0.51,203.9214,100172.8906
-0.48,204.6147,99799.8516
-0.45,204.3387,99424.0234
-0.42,201.8186,98972.9844
-0.39,201.9732,97474.5859
-0.36,200.9038,95071.1484
-0.33,199.1187,93341.7578
-0.30,198.6284,92774.5625
-0.28,199.4501,91676.4844
-0.25,198.5948,90771.3125
-0.22,198.616,91032.625
-0.19,199.1434,90784.0234
-0.16,196.2275,90169.7656
-0.13,196.7012,88026.3203
-0.1,197.1117,85564.2891
-0.07,196.4136,84022.3516
-0.05,195.5049,83272.1172
-0.02,196.1903,83056.7188
0,194.1743,82013.1484
0.03,194.32,80073.6875
0.06,191.3567,77030.4375
0.09,189.8277,75055.625
0.12,190.2702,74701.8672
0.14,191.3113,75265.1094
0.17,188.9619,74528.4844
0.2,191.3045,73653.0078
0.23,186.6898,71618.2969
0.26,186.9593,70113.1484
0.29,187.7165,70700.7578
0.32,184.7876,70911.5156
0.35,185.6222,70211.8828
0.38,186.2238,70533.375
0.41,186.7041,70768.7656
0.44,186.5585,69206.7578
0.47,187.1284,69407.2969
0.5,187.2486,70566.4766
0.53,190.0113,72368.3906
0.56,189.3567,72598.1641
0.59,186.3347,72208.6016
0.61,190.1587,72358.3906
0.64,188.5476,72854.9766
0.67,189.2839,72705.0781
0.7,189.3764,72691.9375
0.73,188.1875,72885.0547
0.76,187.0142,72146.5313
0.79,188.8419,71549.6328
0.82,188.0232,70450.6094
0.84,188.9874,70641.0469
0.87,188.2234,69682.7266
0.9,186.0809,67391.2891
0.93,185.5726,65897.0938
0.96,187.5035,67730.2578
0.99,187.5372,67154.9375
1.02,187.0411,66872.6094
1.05,187.6239,65782.8672
1.07,185.1563,63975.5703
1.1,183.7013,61481.0039
1.13,185.5365,60946.9922
1.16,184.1805,60357.6406
1.19,182.5659,59486.1836
1.23,184.8696,59940.3398
1.26,182.0559,59230.6094
1.28,184.2107,58489.9102
1.31,183.2467,57619.9414
1.34,180.9388,57055.6328
1.37,183.6383,56337.5781
1.4,179.9264,54334.7266
1.43,181.346,54355.625
1.46,180.0739,53999.5977
1.49,181.408,54811.0547
1.52,181.1053,55818.3438
1.54,183.9157,56481.2734
1.57,182.6574,56312.7109
1.6,181.0485,54325.8711
1.63,180.653,53053.7422
1.66,180.048,52456.2188
1.69,179.4478,52208.9844
1.72,180.7142,53542.3281
1.74,180.3553,53474.8203
1.77,184.9806,53705.5195
1.8,180.687,52808.0039
1.83,178.2947,51577.8594
1.86,182.2267,52934.5
1.89,182.5897,53893.9883
1.92,182.6045,53650.1016
1.95,178.5592,52498.3945
1.97,183.4998,53775.4258
2,182.9226,54691.8359
2.03,183.3459,54132.6836
2.06,180.8662,52995.4844
2.1,181.7957,52743.5234
2.13,181.7384,52937.375
2.16,180.2627,52596.6914
2.18,181.8011,52934.5273
2.21,179.0277,52742.4766
2.24,184.2233,53893.3672
2.27,183.1195,52435.0313
2.3,179.5914,50806.543
2.33,179.8544,50837.1641
2.36,181.8215,51079.9375
2.39,179.4668,49739.3008
2.41,177.8259,48538.3281
2.44,181.7712,50324.2656
2.47,179.3261,50349.5391
2.5,178.6806,51582.4453
2.53,180.3551,50796.7773
2.56,178.9674,49984.1641
2.59,181.0052,49705.0156
2.62,179.3568,48261.75
2.65,176.6683,47832.1563
2.67,176.9184,46116.0469
2.7,177.1372,45501.3594
