UT time,Temp (K),Band intensity
2.73,178.0589,44489.8711
2.76,178.3592,43845.8906
2.79,177.2429,42823.1328
2.82,176.2894,42287.5938
2.85,176.7161,43195.2813
2.88,177.7267,43429.9141
2.9,175.6225,42612.2734
2.93,179.5904,42707.5586
2.97,177.4732,41077.5781
3,175.9637,40853.4648
3.03,182.0585,42048.8867
3.06,176.7585,41055.8906
3.09,--,39911.4414
3.11,175.858,40258.2656
3.14,180.8268,41183.4766
3.17,181.2763,40843.5586
3.2,177.0546,40259.5508
3.23,177.719,39463.2461
3.26,177.7316,39254.0039
3.29,179.5111,39116.7422
3.32,174.338,37547.7266
3.34,173.4873,36309.9453
3.37,174.6871,36051.375
3.4,172.0096,35995.1719
3.43,173.8293,34667.5273
3.46,174.9188,35209.0586
3.49,177.4352,34492.1328
3.52,174.6303,31742.7637
3.55,174.5585,30717.2832
3.58,175.1124,30763.2188
3.6,173.4849,30880.2773
3.63,180.3375,32244.4824
3.66,180.2882,32530.8066
3.69,179.5124,32129.2969
3.72,178.5829,32079.7988
3.75,176.7183,31246.1426
3.78,176.413,32132.8281
3.8,181.8054,33224.5078
3.84,182.9939,34155.3945
3.87,185.2949,33399.875
3.9,184.453,34995.1914
3.93,185.6568,34487.8398
3.96,181.9214,34918.7578
3.99,183.7496,35972.2656
4.01,179.7366,35317.418
4.04,--,36661.7383
4.07,182.2906,34911.2852
4.1,177.7006,34652.6172
4.13,178.7493,35060.4336
4.16,175.6133,35070.3203
4.19,179.0365,34737.2734
4.22,178.5833,33996.5195
4.24,174.7493,33367.4375
4.27,176.1306,34459.3984
4.3,172.5259,33590.0156
4.33,176.0555,33790.625
4.36,175.9453,33351.6797
4.39,176.1466,33669.5859
4.42,175.7069,34596.625
4.44,175.1144,33591.5742
4.48,175.2933,33855.082
4.5,180.6184,35191.2852
4.53,179.9388,34907.2539
4.56,173.131,32830.7891
4.59,177.1249,33863.3047
4.62,175.903,34413.0391
4.65,177.2419,34786.0078
4.68,177.7726,34838.1914
4.71,179.2869,33639.2266
4.74,176.7659,32888.9688
4.77,181.0074,33934.2852
4.8,179.3405,33076.1016
4.83,180.4148,32418.0332
4.86,179.7641,32441.5098
4.89,178.1902,32553.6602
4.91,183.8997,33224.3281
4.94,181.8351,32723.6074
4.97,183.066,31662.3652
5,178.0206,31155.3223
5.03,178.4969,31521.375
5.06,180.4894,31768.6016
5.09,180.0297,31689.8789
5.12,178.7226,31232.4082
5.14,182.8856,30333.3633
5.17,176.8654,29425.6426
5.2,180.1582,30038.6602
5.23,181.7606,30468.6367
5.26,180.1654,29857.4785
5.29,184.4924,30029.5449
5.32,183.7409,29913.5723
5.34,184.9582,29532.4414
5.37,182.9282,29448.6953
5.4,180.8272,29372.1992
5.43,179.0971,29273.0996
5.46,--,31043.9238
5.49,180.9233,29401.7461
5.52,180.5451,29472.4277
5.55,179.0388,29757.1816
5.58,178.3335,30131.1406
5.61,178.4594,30445.1719
5.64,178.8857,31059.6465
5.67,179.6058,31474.5664
5.7,177.8163,31063.5879
5.73,176.2766,30570.002
5.76,177.5058,30227.1523
5.79,176.8485,30985.9746
5.81,181.5609,31606.0742
5.84,178.2365,31015.6934
5.87,180.5318,30399.7207
5.9,179.4242,30022.7715
5.93,180.4901,29461.7617
5.96,177.0535,28488.0957
5.99,178.4459,28930.3125
6.02,177.7828,29103.2656
6.04,180.6225,28837.5098
6.07,179.3873,28996.6484
6.1,180.287,28691.6504
6.13,179.4789,28444.7383
6.16,179.7162,28190.6445
6.19,180.4012,29085.6563
6.22,177.676,30104.8926
6.24,179.9438,30820.0371
6.27,179.789,31269.3105
6.3,180.5992,31380.3047
6.33,178.8647,31869.1914
6.36,181.7473,32318.0918
6.39,180.742,32275.416
6.42,180.3752,31654.9727
6.45,180.1641,30827.1465
6.48,179.7545,30783.543
6.51,179.4529,30199.4746
6.54,178.0955,29392.5156
6.57,178.1745,29083.7031
6.6,176.2884,28597.8047
6.63,174.4506,28585.1309
6.66,173.8251,28592.457
6.69,176.4143,28572.0078
6.71,176.1186,28534.2852
6.74,175.8161,28003.4102
6.77,172.9126,27595.0566
6.8,176.0215,27774.3555
6.83,176.1617,28114.4629
6.86,175.4415,27973.1465
6.89,173.4863,27964.4688
6.91,175.3367,28109.6016
6.94,172.9468,27391.4648
6.97,172.263,27092.6973
7,173.1319,27113.8457
7.03,173.7422,27085.2207
7.06,175.8824,27055.4004
7.09,174.0145,26587.2227
7.12,172.0537,25796.2363
7.14,172.7404,25729.8809
7.17,175.4486,25912.2285
7.2,170.6597,25028.9512
7.23,172.475,25292.0762
7.26,179.1842,26653.2539
7.29,181.6892,27293.0195
7.33,177.4988,26742
7.35,175.0819,26255.9082
7.38,175.331,26144.4082
7.41,175.6189,26277.1992
7.44,176.4542,26210.1719
7.47,175.9461,25677.4473
7.5,178.0384,25684.6992
7.53,177.932,25907.8613
7.56,177.3087,25787.1035
7.59,176.7157,25747.5391
7.61,178.6917,26017.3848
7.64,176.7387,25758.1094
7.67,172.7395,25886.0918
7.7,178.5307,27060.0879
7.73,177.2733,27628.543
7.76,178.6842,28588.1035
7.79,175.3124,28610.166
7.81,179.17,29514.377
7.84,178.0596,30452.1895
7.87,179.5539,31367.1055
7.9,179.3791,31600.1699
7.93,179.4478,31750.5859
7.96,180.7766,32509.5645
7.99,176.9445,32816.1328
8.02,178.4165,34045.3867
8.04,180.9478,35321.1406
8.07,180.9056,35750.6016
8.1,179.4558,35530.5938
8.13,181.267,36854.875
8.16,184.2151,37980.2266
8.2,182.3462,37741.4766
8.23,182.4613,37948.5703
8.25,183.284,38184.6523
8.28,184.8192,37998.8125
8.31,184.0533,37156.7617
8.34,183.4438,37245.3398
8.37,185.2548,37688.1602
8.4,187.6514,37250.3477
8.43,187.9021,36391.9414
8.45,187.9308,35783.5273
8.49,187.4077,35179.9531
8.51,187.7638,34930.6523
8.54,188.9251,34990.2617
8.57,191.9398,35965.2344
8.6,192.2445,36857.8359
8.63,192.0042,37428.332
8.66,193.746,37584.2109
8.69,192.0678,38300.2539
8.71,193.862,39004.0391
8.74,193.2328,39317.8867
8.77,189.4376,38169.2422
8.8,195.6584,37407.4453
8.83,193.077,36648.9688
8.86,196.2739,36225.9883
8.89,196.2352,36330.8789
8.92,196.5394,37018.0195
8.94,196.0065,36426.3086
8.97,196.9644,36196.0234
9,195.6385,36000.0781
9.03,197.8713,36583.7031
9.07,195.1156,36232.1758
9.1,193.425,35950.8828
9.13,192.5779,36192.0547
9.15,197.449,37568.2344
9.18,197.5539,37640.7617
9.21,197.4982,38117.7656
9.24,198.3509,39048.9805
9.27,201.9303,39461.1953
9.3,199.8488,40033.6758
9.33,200.0965,39948.5273
9.35,198.9197,40228.6172
9.38,202.0777,40476.1836
9.41,200.3499,40026.7734
9.44,200.1553,39630.9961
9.47,200.0796,39753.6406
9.5,201.4787,40103.6953
9.53,201.4094,40269.4922
9.56,199.2189,39597.8164
9.59,195.3108,38838
9.61,198.1952,38909.8398
9.64,197.9082,38326.3359
9.67,195.1608,37714.7383
9.7,197.275,37966.5078
9.73,199.1108,37665.3633
9.76,198.4084,37961.2422
9.79,195.9736,37749.3633
9.82,199.4575,38517.375
9.84,201.4794,39793.625
9.87,199.8483,39586.4023
9.9,201.3723,38556.3828
9.94,197.8004,38047.2969
9.97,198.3664,38375.0195
10,196.9046,38418.8555
10.03,198.6312,38476.5703
10.05,198.7816,38491.7852
10.08,201.9297,38015.4141
10.11,198.3341,37905.3164
10.14,199.8926,37366.7305
10.17,200.8043,37718.1758
10.2,200.8955,38164.2461
10.23,201.2724,38469.5313
10.25,201.5742,38884.7852
10.28,199.2038,38610.3242
10.31,199.3831,38832.2969
10.34,205.4801,39511.0234
10.37,200.9357,38516.0508
10.4,202.9808,38737.0547
10.43,205.3874,39119.3477
10.46,206.5795,39399.9336
10.49,201.4652,38508.7305
10.51,201.8241,37969.2813
10.54,204.0238,37916.9961
