UT time,Temp (K),Band intensity
4.44,182.4126,56233.8555
4.47,187.4889,56197.1484
4.5,--,55607.4883
4.53,182.9603,53310.125
4.56,184.3972,53337.6211
4.59,185.2742,50914.0781
4.62,181.2583,47576.0898
4.65,180.8255,46803.0703
4.67,180.7939,47367.0039
4.71,177.3277,46615.4258
4.74,178.105,44137.6172
4.77,178.5092,41017.6211
4.8,176.9218,39863.0742
4.83,177.8821,39369.7305
4.86,177.7236,39385.5352
4.88,179.6379,40392.3047
4.91,175.6539,40041.1797
4.94,176.7402,40264.2383
4.97,174.9403,39274.3516
5,174.8751,38958.5703
5.03,176.8406,39637.875
5.06,174.9034,39429.2422
5.09,178.3288,39824.0195
5.11,178.449,39955.4727
5.14,178.4702,40198.1914
5.17,179.3051,41322.3008
5.2,179.3636,42932.0703
5.23,179.2484,44408.6797
5.26,180.1491,44864.1016
5.29,181.1084,44414.5859
5.32,180.2488,43744.6328
5.34,180.0718,43608.8633
5.37,179.3762,43548.1602
5.4,179.1041,43343.8438
5.43,183.0174,43970.293
5.46,182.0791,43331.7461
5.49,182.2475,43153.9336
5.52,183.754,44037.4883
5.55,181.4934,44453.2852
5.58,182.0894,44734.7734
5.61,184.4695,45389.6641
5.64,181.7522,45205.8945
5.67,181.0945,45338.2344
5.7,183.1596,45757.7891
5.73,182.808,46418.3008
5.76,184.2911,46937.3906
5.78,185.6131,48193.5313
5.81,184.8234,48231.3281
5.84,183.91,48122.2578
5.87,184.0516,47666.2578
5.9,186.279,48411.3086
5.93,185.1024,48460.3516
5.96,183.7044,48080.7461
5.99,184.1731,48753.7344
6.01,186.5049,49243.7969
6.04,183.6622,48071.0234
6.07,184.017,47816.1563
6.1,185.4958,47974.1016
6.13,186.1405,48273.0625
6.16,184.019,48176.9727
6.19,184.7692,48054.207
6.22,185.52,48864.0391
6.24,185.4911,49125.957
6.27,185.1935,48422.5313
6.3,182.7038,47967.8281
6.33,185.6907,47675.6133
6.36,189.0772,48719.7695
6.39,187.5369,49220.6133
6.42,187.78,49107.8359
6.45,189.0941,50311.1172
6.48,187.2032,50926.8516
6.51,187.7909,52516.5547
6.54,187.9127,53228.9453
6.57,185.8349,52574.1484
6.6,186.7939,52429.4727
6.63,187.1325,52904.9844
6.65,186.4952,53060.8828
6.68,186.936,52445.332
6.71,187.717,53060.8711
6.74,188.0935,52764.2813
6.77,187.9129,52851.7188
6.8,188.1983,52823.8477
6.83,188.866,53037.6875
6.86,186.9747,52726.8711
6.88,187.2776,53286.8359
6.91,188.4017,53826.9102
6.94,188.6941,53192.7148
6.97,187.6785,52196.3047
7,187.2994,52559.0273
7.03,186.1725,52857.1797
7.06,187.22,53059.8008
7.08,188.8137,52973.7891
7.11,187.9348,53335.2422
7.14,188.2356,53848.0195
7.17,188.081,53618.9336
7.2,188.4512,53767.0156
7.23,187.8767,53690.8828
7.26,188.4455,53393.1055
7.29,189.1491,53663.0547
7.32,189.8425,54323.3008
7.35,186.4908,53392.4688
7.38,188.5368,53819.9414
7.41,188.3499,52793.4883
7.44,188.7636,51820.3672
7.47,189.0046,51148.3086
7.5,189.3278,50633.5313
7.52,191.4148,51117.7031
7.55,188.419,50959.2656
7.58,189.2111,51200.0039
7.61,192.4409,51547.293
7.64,189.0909,50926.2383
7.67,191.8908,51701.9727
7.7,191.7189,51819.125
7.73,190.604,51320.168
7.75,192.3309,51727.7578
7.78,188.2657,51037.5859
7.81,191.688,51141.3555
7.84,193.0719,51444.1836
7.87,192.714,50949.3945
7.9,191.0391,49736.957
7.93,190.2283,49073.3203
7.95,189.0784,48420.0469
7.98,189.6537,48167.9492
8.01,189.3805,47187.8203
8.04,189.8813,46770.0859
8.07,192.2327,47551
8.1,193.3228,47706.9141
8.13,189.7251,47854.3516
8.16,191.6097,49009.4922
8.19,194.2623,49415.7734
8.22,191.928,49445.8242
8.25,192.7605,49371.4766
8.28,194.4016,50303.7266
8.31,194.5923,50230.5547
8.34,194.7436,50060.3945
8.37,193.5555,50917.4648
8.39,195.2495,51340.8086
8.42,196.6885,52156.2148
8.45,196.9334,52215.0117
8.48,196.0962,52333.5039
8.51,200.1142,53094.2969
8.54,198.7285,52801.0156
8.57,196.9743,52295.2188
8.6,198.3946,52949.5625
8.63,195.4745,52384.7148
8.66,198.6087,52814.543
8.69,201.1027,53645.4375
8.71,197.0012,52558.1523
8.74,195.6412,52597.8789
8.77,197.0949,52631.7383
8.8,194.3928,51479.8047
8.83,196.2555,50935.4648
8.86,194.896,50342.6758
8.89,195.8317,50117.5117
8.92,196.0961,49845.0508
8.94,195.6211,50227.7617
8.97,197.2616,51177.8438
9,197.3264,50851.0625
9.03,197.6788,51002.1602
9.07,199.0484,51508.0742
9.1,196.9777,51136.6328
9.12,196.3045,50917.0625
9.15,198.0449,51554.043
9.18,200.6209,52087.8906
9.21,199.4436,51907.8594
9.24,198.8676,51826.7109
9.27,199.4904,53087.1172
9.3,199.7594,53046.5352
9.33,200.243,53445.0938
9.35,201.5878,54697.1719
9.38,200.7379,54356.3242
9.41,200.9398,54409.082
9.44,202.0067,54346.7969
9.47,201.9545,54879.4883
9.5,203.3329,55280.8047
9.53,201.181,54772.4063
9.56,201.3338,55341.1836
9.58,201.6787,55960.9258
9.61,200.7111,55855.1523
9.64,202.703,56698.0859
9.67,199.7012,56073.8633
9.7,202.9123,56502.3203
9.73,204.7136,56987.3281
9.76,205.7991,57635.6445
9.78,202.6329,57803.5625
9.81,202.6456,58234.1992
9.84,201.2803,58171.2852
9.87,202.6694,58872.3281
9.9,201.6982,58469.9219
9.94,198.7825,57888.9531
9.97,199.9489,58913.6094
9.99,203.1986,59811.2734
10.02,203.3149,60624.2422
10.05,200.5456,60849.2969
10.08,202.9373,61076.4766
10.11,203.0512,62131.3984
10.14,208.8535,63636.332
10.17,208.5434,63620.0938
10.2,205.377,63505.2539
10.22,207.2848,65205.1289
10.25,207.4495,65560.3828
10.28,204.3345,64837.9961
10.31,205.5918,64442.9102
10.34,210.1703,66283.0234
10.37,210.8395,66573.6406
10.4,210.3837,66151.9453
10.43,206.977,66117.4844
10.45,210.0656,67254.1172
10.48,209.8782,67454.4688
10.51,207.8003,67182.3125
10.54,206.0108,68416.0625
