UT time,Temp (K),Band intensity
-1.06,205.0307,76770.8828
-1.03,202.4986,76521.9063
-1.01,201.4202,77262.7031
-0.98,197.8892,77271.0156
-0.95,197.2796,77668.9922
-0.92,194.4533,78262.9219
-0.89,191.4583,77397.1953
-0.86,193.5619,77583.4063
-0.83,194.3834,76016.2344
-0.8,195.6243,75181.6484
-0.78,192.9275,73833.5
-0.75,190.9243,72225.8516
-0.72,193.5011,71874.7266
-0.69,190.6021,69932.7813
-0.66,190.7753,68860.1016
-0.63,190.8899,68426.2656
-0.6,192.072,68121.5781
-0.57,191.2695,67732.7813
-0.55,189.3928,66840.3672
-0.51,189.9744,67110.2969
-0.48,--,69314.2813
-0.45,191.5279,68558.9531
-0.42,189.3634,67006.7734
-0.39,190.2326,66380.1875
-0.36,191.4321,65867.2266
-0.33,189.4385,65721.2109
-0.31,192.473,65624.6641
-0.28,190.9717,64659.0391
-0.25,189.3625,64661.9844
-0.22,187.6588,63723.3438
-0.19,187.5915,63577.4727
-0.16,185.805,63806.4609
-0.13,187.2944,63837.7813
-0.1,185.4628,63813.8047
-0.08,184.6271,63503.4805
-0.05,187.8554,64146.4883
-0.02,185.781,64029.3906
0,184.4383,63782.9609
0.03,182.7529,64117.1602
0.06,183.5726,64401.543
0.09,184.0154,64314.2148
0.12,183.1281,63781.7695
0.14,183.3187,62379.9453
0.17,180.2633,61461.043
0.2,181.7652,60798.0859
0.23,181.5054,60258.0156
0.26,180.6288,59771.582
0.29,180.2107,59160.2969
0.32,180.5897,57739.125
0.35,176.2097,53777.582
0.38,177.3833,52331.1797
0.41,178.0289,52040.1641
0.44,177.5432,51140.2461
0.47,175.6252,50783.3477
0.5,177.6099,50878.2266
0.53,176.8337,51273.8672
0.56,175.2701,50610.8516
0.58,176.9236,50131.4258
0.61,177.3948,49670.0625
0.64,173.7675,48575.2695
0.67,176.1087,48994.0742
0.7,176.9124,49481.2773
0.73,177.1843,48828.5234
0.76,173.9214,47311.0195
0.79,173.2874,46736.4453
0.81,174.7637,47070.5273
0.84,175.3129,47841.8789
0.87,174.7112,47408.2734
0.9,175.6095,47435.1367
0.93,173.5204,46645.6992
0.96,173.5093,46691.2227
0.99,175.53,47655.0469
1.02,178.094,48364.8633
1.04,176.484,47572.1133
1.07,177.7688,47073.2109
1.1,174.0827,46088.0391
1.13,177.7244,46700.0273
1.16,178.7345,46660.5586
1.19,178.9385,46331.7422
1.23,177.7476,45442.5742
1.25,176.0379,45052.5938
1.28,175.3565,44689.0273
1.31,175.7479,44508.0508
1.34,177.8221,44465.5508
1.37,177.8812,44460.2109
1.4,177.8472,44323.7383
1.43,177.085,43491.5586
1.46,177.9065,42979.707
1.48,177.5356,42349.7109
1.51,179.4056,42403.2852
1.54,176.0696,41534.6836
1.57,175.6376,41749.793
1.6,175.4267,42444.3125
1.63,176.9801,43819.6719
1.66,176.3539,42492.3711
1.69,174.603,41131.0547
1.72,177.1687,42440.2188
1.74,178.0535,44051.3945
1.77,176.6126,44678.0547
1.8,174.2915,43997.4531
1.83,173.4969,42245.3086
1.86,174.0895,40622.6445
1.89,173.1394,40660.5781
1.92,173.6093,41195.6172
1.94,175.2437,42188.3828
1.97,174.3112,41970.8594
2,171.9068,40779.418
2.03,172.3135,40510.7773
2.06,174.9746,41039.5938
2.1,172.2542,40481.125
2.13,173.4934,40704.6211
2.15,171.1613,40097.1211
2.18,173.6013,40414.1719
2.21,173.1034,39397.3164
2.24,172.1551,39106.9961
2.27,168.4576,38307.7813
2.3,171.3859,38116.5977
2.33,170.0413,37158.7461
2.36,166.4327,36230.375
2.38,166.3009,36289.9492
2.41,169.8909,36397.3047
2.44,168.9518,35414.4492
2.47,168.3436,34285.4688
2.5,165.8862,32951.7617
2.53,167.3785,32729.2422
2.56,172.2595,34649.3672
2.59,169.3432,32799.418
2.62,163.7989,31536.7754
2.64,165.6359,31513.8203
2.67,165.4034,31523.5273
2.7,167.9253,32120.4238
2.73,168.6286,31547.8145
2.76,166.8216,30428.3242
2.79,168.9744,30716.0352
2.82,171.0278,31063.041
2.85,166.0338,31591.6406
2.87,171.6659,32306.5332
2.9,165.4903,30846.1992
2.93,168.8985,31604.5723
2.97,162.4051,30443.0605
3,164.5118,31503.8125
3.03,167.4202,32457.3457
3.06,168.9762,33350.2969
3.08,171.9258,32698.2402
3.11,166.9708,31784.1816
3.14,169.6447,32477.959
3.17,163.0659,31849.4902
3.2,164.5824,32523.1289
3.23,166.8023,34139.7461
3.26,170.961,33146.1484
3.29,162.9076,32658.4258
3.31,164.7491,32455.7656
3.34,165.6714,33603.4453
3.37,172.1955,34266.9141
3.4,167.0041,34108.5508
3.43,164.1879,35440.5977
3.46,165.6048,36784.8828
3.49,--,36765.7227
3.52,166.8185,37471.4102
3.55,--,36355.4844
3.57,--,32455.5801
3.6,--,32729.9473
3.63,170.1433,32575.1289
3.66,169.8237,32597.4121
3.69,--,34164
3.72,171.8696,33480.7773
3.75,173.5943,34537.5625
3.77,178.2654,34524.4648
3.8,171.9171,32825.2031
3.84,176.0753,34685.2969
3.87,169.2914,33636.3242
3.9,170.6003,32383.7441
3.93,167.3677,32225.9316
3.96,170.7263,31445.3027
3.98,176.2231,32139.127
4.01,171.088,30874.0586
4.04,--,29867.2305
4.07,178.0207,32224.6445
4.1,169.9312,30355.1152
4.13,170.5148,29137.3242
4.16,171.0207,29544.7773
4.19,169.8495,30815.9785
4.21,174.5324,29960.166
4.24,171.4349,29659.3242
4.27,177.4778,30608.4023
4.3,--,27769.1406
4.33,172.7012,28141.0859
4.36,177.9118,30115.4941
4.39,171.9889,29735.2754
4.41,175.9398,30829.2207
4.44,174.552,30008.4082
4.47,177.6132,30014.0371
4.5,172.6859,29373.1973
4.53,175.3938,29281.0078
4.56,179.5263,29918.0879
4.59,180.0219,30262.0586
4.62,180.1107,29710.6465
4.65,178.7373,28414.2227
4.67,176.7031,28772.9551
4.71,174.1591,27572.3809
4.74,178.3976,27468.0781
4.77,178.2407,27978.1191
4.8,175.5204,28887.6777
4.83,175.5209,29909.1543
4.86,178.9415,30871.3594
4.88,181.8925,31259.8711
4.91,180.5756,30790.5059
4.94,176.7326,30069.8027
4.97,177.2312,30484.7734
5,178.1224,31514.2441
5.03,179.1578,32185.0918
5.06,177.5806,32723.9551
5.09,178.2845,32828.957
5.11,179.6783,32779.3164
5.14,173.2391,31636.8984
5.17,175.616,31103.9355
5.2,173.5797,30837.7324
5.23,173.9466,30188.4863
5.26,173.7558,30139.9492
5.29,175.785,30453.0195
5.31,174.1617,29934.7227
5.34,174.2476,29586.8867
5.37,174.4629,29464.5957
5.4,173.7464,29121.7441
5.43,173.5422,28491.209
5.46,173.6094,28177.3672
5.49,177.3469,28604.8281
5.52,180.1676,29475.3379
5.55,178.6761,29271.084
5.58,176.4472,27716.7168
5.61,176.5443,27022.5488
5.64,176.2654,26525.4766
5.67,173.1858,25863.4805
5.7,175.2563,25937.0352
5.73,171.7812,25717.541
5.76,173.044,26080.3047
