UT time,Temp (K),Band intensity
5.78,172.4645,25770.6602
5.81,172.9044,26026.3105
5.84,175.2077,27121.1855
5.87,175.6893,28074.0547
5.9,177.7319,28471.4336
5.93,173.7025,27552.8574
5.96,176.2775,25881.7246
5.99,174.8939,24518.7207
6.01,178.7955,24567.4902
6.04,177.5619,24195.5313
6.07,174.8529,24551.2031
6.1,179.1187,25788.5801
6.13,178.5684,26484.4395
6.16,178.2709,27185.1641
6.19,177.4861,27834.6113
6.21,180.0656,27680.1543
6.24,180.2483,27731.2422
6.27,178.2579,27502.3086
6.3,179.8498,27357.8184
6.33,178.222,26939.8848
6.36,183.0049,27146.8887
6.39,181.9229,27333.2012
6.42,183.7513,27311.4121
6.45,185.85,27809.0117
6.48,187.8668,28072.3457
6.51,187.724,27885.3828
6.54,193.4166,28730.8711
6.57,191.2076,29166.9805
6.6,191.2408,29486.25
6.63,193.4101,30445.0234
6.66,194.3465,31243.8281
6.68,191.8411,31412.9492
6.71,194.5839,31647.1621
6.74,192.535,31724.4277
6.77,190.3124,31675.4434
6.8,188.3986,31815.4902
6.83,185.2417,32027.8809
6.86,189.9765,32550.3926
6.88,193.2655,33210.6602
6.91,191.1066,33500.7852
6.94,188.7746,33313
6.97,189.2781,32922.1016
7,187.8307,31625
7.03,189.0741,31329.6094
7.06,192.2563,31265.0957
7.09,190.1907,31188.6719
7.11,186.4957,30359.7656
7.14,189.5342,30586.5566
7.17,194.0475,31327.7246
7.2,192.9375,31766.3262
7.23,192.9146,33162.7617
7.26,193.8189,34356.6211
7.29,190.0132,35483.5195
7.32,188.5479,35595.082
7.35,188.3147,35314.4844
7.38,191.409,34630.0742
7.41,189.6045,33305.0742
7.44,188.7952,32569.5684
7.47,192.8479,31924.752
7.5,187.6694,30407.5703
7.53,196.4996,30320.3672
7.56,196.5237,30040.6211
7.58,201.5562,30265.4707
7.61,205.3943,30062.2051
7.64,200.9922,30457.1191
7.67,196.546,31434.1348
7.7,200.3549,32157.4355
7.73,197.4099,32292.1406
7.76,197.2709,32235.8633
7.78,198.4332,31997.4922
7.81,198.4689,32015.3574
7.84,201.3336,32524.2129
7.87,202.0364,33092.3945
7.9,199.726,33514.9531
7.93,199.7433,33768.5
7.96,203.2532,34899.168
7.99,204.3997,35456.8008
8.01,200.9899,35822.4883
8.04,199.5891,36780.875
8.07,199.1001,38051.3945
8.1,200.888,38282.6953
8.13,194.6989,38356.9961
8.16,195.3436,38823.082
8.2,196.8426,39385.8438
8.22,197.7733,39289.0391
8.25,193.5702,38619.0547
8.28,198.2161,39074.9609
8.31,198.479,39368.4414
8.34,195.1181,39338.4141
8.37,197.5247,39508.4688
8.4,200.1568,39383.0273
8.43,196.9626,38619.2031
8.45,199.0568,38420.4336
8.48,198.8035,38773.7891
8.51,200.332,39936.8438
8.54,201.0215,41840.7305
8.57,201.5413,44508.7305
8.6,199.4747,45854.6016
8.63,197.3544,45912.582
8.66,197.7015,44863.8867
8.68,199.864,43026.6914
8.71,199.8798,42587.5938
8.74,--,43714.3633
8.77,200.5613,43779.9844
8.8,203.4413,45216.375
8.83,198.5163,45001.4023
8.86,196.9081,44528.3711
8.89,200.2023,44547.8984
8.91,202.662,44572.3359
8.94,203.4929,45889.3047
8.97,198.1652,45820.9766
9,199.6109,46341.7227
9.03,202.863,47219.5664
9.07,198.3302,47120.9336
9.1,198.5788,47399.5703
9.12,200.7545,48085.0117
9.15,203.1074,49220.9844
9.18,198.7108,49485.6055
9.21,200.3832,50745.457
9.24,199.6456,52352.1992
9.27,196.2162,52686.1016
9.3,198.335,52316.332
9.33,199.6715,51609.9492
9.35,199.4377,52508.7852
9.38,198.2354,52891.3789
9.41,198.3195,53656.9492
9.44,202.3724,55244.9648
9.47,197.9407,55024.0078
9.5,201.0152,55489.2617
9.53,201.9015,55440.4023
9.56,200.3182,56055.043
9.59,200.5409,56723.1406
9.61,201.5832,56887.2148
9.64,199.9738,57357.543
9.67,199.1526,58150.2031
9.7,198.2313,58881.0625
9.73,200.3541,60063.2422
9.76,198.503,60881.0391
9.79,196.1199,62218.3477
9.81,200.3102,62492.1289
9.84,201.2413,60748.9258
9.87,197.9976,59531.6758
9.9,200.3315,59636.5781
9.94,197.597,60972.5664
9.97,196.3016,61958.6836
10,196.6867,63227.8672
10.02,198.5213,64573.3555
10.05,196.363,65261.9648
10.08,197.7442,66382.8438
10.11,197.259,67141.375
10.14,194.1867,67842.6563
10.17,194.5742,68236.3047
10.2,196.9061,68621.5234
10.23,194.1073,68394.2266
10.25,197.1399,68179.1797
10.28,192.2376,67491.0703
10.31,192.1406,67024.0859
10.34,195.5845,67535.8281
10.37,193.372,67242.0547
10.4,192.94,67862.6094
10.43,194.7188,67144.9297
10.45,189.2869,64224.6133
10.48,189.8669,63592.1289
10.51,192.3047,64544.1602
10.54,192.0649,65788.3984
